Cagliari,Venice,5400,36.29
Venice,Cagliari,5400,46.25
Cagliari,Vienna,7200,55.99
Vienna,Cagliari,7200,65.55
Cagliari,Warsaw,9900,82.8
Warsaw,Cagliari,9900,92.4
Catania,Bari,4200,19.57
Bari,Catania,4200,15.57
Catania,Bologna,6000,22.32
Bologna,Catania,6000,14.23
Catania,Bristol,12900,270.99
Bristol,Catania,12900,299.99
Catania,Brussels,10200,80.99
Brussels,Catania,10200,78.45
Catania,Bucharest,7800,64.99
Bucharest,Catania,7800,70.71
Catania,Budapest,7800,36.1
Budapest,Catania,7800,40.55
Catania,Cagliari,4800,49.49
Cagliari,Catania,4800,25.25
Catania,Geneva,8400,31.99
Geneva,Catania,8400,35.65
