Cagliari ,Venice ,5400,36.29
Venice ,Cagliari ,5400,36.29
Cagliari ,Vienna ,7200,55.99
Vienna ,Cagliari ,7200,55.99
Cagliari ,Warsaw ,9900,82.8
Warsaw ,Cagliari ,9900,82.8
Catania ,Bari ,4200,19.57
Bari ,Catania ,4200,19.57
Catania ,Bologna ,6000,22.32
Bologna ,Catania ,6000,22.32
Catania ,Bristol ,12900,270.99
Bristol ,Catania ,12900,270.99
Catania ,Brussels ,10200,80.99
Brussels ,Catania ,10200,80.99
Catania ,Bucharest ,7800,64.99
Bucharest ,Catania ,7800,64.99
Catania ,Budapest ,7800,36.1
Budapest ,Catania ,7800,36.1
Catania ,Cagliari ,4800,49.49
Cagliari ,Catania ,4800,49.49
Catania ,"Geneva	",8400,31.99
"Geneva	",Catania ,8400,31.99
Catania ,Genoa ,6300,109.71
Genoa ,Catania ,6300,109.71
Catania ,London ,12300,21.49
London ,Catania ,12300,21.49
Catania ,Madrid ,10800,35.99
Madrid ,Catania ,10800,35.99
Catania ,Milan ,6900,27.99
Milan ,Catania ,6900,27.99
Catania ,Paris,10500,106.49
Paris,Catania ,10500,106.49
